timestamp,arbitration_id,extended,remote,error,dlc,data
timestamp,arbitration_id,extended,remote,error,dlc,data
1712561964.2283556,0x2f0a202,1,0,0,8,AAD4MAAAAAA=
1712561965.2295895,0x2f0a202,1,0,0,8,AAH4OgAAAAA=
1712561966.2308226,0x2f0a202,1,0,0,8,AAL4RAAAAAA=
1712561967.2320955,0x2f0a202,1,0,0,8,AAP4TgAAAAA=
1712561968.233332,0x2f0a202,1,0,0,8,AAT4WAAAAAA=
1712561969.234576,0x2f0a202,1,0,0,8,AAX4YgAAAAA=
1712561970.2358215,0x2f0a202,1,0,0,8,AAb4bAAAAAA=
1712561971.2370706,0x2f0a202,1,0,0,8,AAf4dgAAAAA=
1712561972.2383206,0x2f0a202,1,0,0,8,AAj4gAAAAAA=
timestamp,arbitration_id,extended,remote,error,dlc,data
1712562015.7740042,0x2f0a202,1,0,0,8,AAD4MAAAAAA=
1712562016.7753422,0x2f0a202,1,0,0,8,AAH4OgAAAAA=
1712562017.7766378,0x2f0a202,1,0,0,8,AAL4RAAAAAA=
1712562018.7783027,0x2f0a202,1,0,0,8,AAP4TgAAAAA=
1712562019.7796197,0x2f0a202,1,0,0,8,AAT4WAAAAAA=
1712562020.780913,0x2f0a202,1,0,0,8,AAX4YgAAAAA=
1712562021.7822053,0x2f0a202,1,0,0,8,AAb4bAAAAAA=
1712562022.7834973,0x2f0a202,1,0,0,8,AAf4dgAAAAA=
1712562023.7847815,0x2f0a202,1,0,0,8,AAj4gAAAAAA=
1712562024.7860494,0x2f0a202,1,0,0,8,AAn4igAAAAA=
timestamp,arbitration_id,extended,remote,error,dlc,data
1712563377.2385056,0x2f0a202,1,0,0,8,AAD4MAAAAAA=
1712563378.2397919,0x2f0a202,1,0,0,8,AAH4OgAAAAA=
1712563379.2411067,0x2f0a202,1,0,0,8,AAL4RAAAAAA=
1712563380.2423878,0x2f0a202,1,0,0,8,AAP4TgAAAAA=
1712563381.2436655,0x2f0a202,1,0,0,8,AAT4WAAAAAA=
1712563382.2449343,0x2f0a202,1,0,0,8,AAX4YgAAAAA=
1712563383.246202,0x2f0a202,1,0,0,8,AAb4bAAAAAA=
1712563384.2474778,0x2f0a202,1,0,0,8,AAf4dgAAAAA=
1712563385.2487519,0x2f0a202,1,0,0,8,AAj4gAAAAAA=
1712563386.2500348,0x2f0a202,1,0,0,8,AAn4igAAAAA=
1712563387.2513018,0x2f0a202,1,0,0,8,AAr4lAAAAAA=
1712563388.2525504,0x2f0a202,1,0,0,8,AAv4ngAAAAA=
1712563389.253805,0x2f0a202,1,0,0,8,AAz4qAAAAAA=
1712563390.2550657,0x2f0a202,1,0,0,8,AA34sgAAAAA=
timestamp,arbitration_id,extended,remote,error,dlc,data
timestamp,arbitration_id,extended,remote,error,dlc,data
timestamp,arbitration_id,extended,remote,error,dlc,data
1712564414.7366247,0x2f0a202,1,0,0,8,AAD4MAAAAAA=
1712564415.7378747,0x2f0a202,1,0,0,8,AAH4OgAAAAA=
1712564416.7391243,0x2f0a202,1,0,0,8,AAL4RAAAAAA=
1712564417.7403822,0x2f0a202,1,0,0,8,AAP4TgAAAAA=
1712564418.7416368,0x2f0a202,1,0,0,8,AAT4WAAAAAA=
1712564419.7429323,0x2f0a202,1,0,0,8,AAX4YgAAAAA=
1712564420.744186,0x2f0a202,1,0,0,8,AAb4bAAAAAA=
1712564421.7454474,0x2f0a202,1,0,0,8,AAf4dgAAAAA=
1712564422.7469203,0x2f0a202,1,0,0,8,AAj4gAAAAAA=
1712564423.7482128,0x2f0a202,1,0,0,8,AAn4igAAAAA=
1712564424.7494657,0x2f0a202,1,0,0,8,AAr4lAAAAAA=
1712564425.7507265,0x2f0a202,1,0,0,8,AAv4ngAAAAA=
